sample_num,dna_sample,dna_id,soil_stress,soil_let,soil_type,microbe_type,nickel,drought,tray,growth (8.8.2018),growth (8.15.2018),pds,date.collected,date.dna,pds.8.22.2018,height.8.22.2018,leaf.num.8.22.2018,date.8.22.2018,amt.gem,pds.8.29.2018,height.8.29.2018,leaf.num.8.29.2018,date.8.29.2018,pds.10.22.2018,height.10.22.2018,leaf.num.10.22.2018,date.10.22.2018,pds.9.3.2018,height.9.3.2018,leaf.num.9.3.2018,date.9.3.2018,pds.9.10.2018,height.9.10.2018,leaf.num.9.10.2018,date.9.10.2018,pds.9.24.2018,height.9.24.2018,leaf.num.9.24.2018,date.9.24.2018,pds.9.17.2018,height.9.17.2018,leaf.num.9.17.2018,date.9.17.2018,pds.10.1.2018,height.10.1.2018,leaf.num.10.1.2018,date.10.1.2018,pds.10.8.2018,height.10.8.2018,leaf.num.10.8.2018,date.10.8.2018,pds.10.15.2018,height.10.15.2018,leaf.num.10.15.2018,date.10.15.2018,pds.11.12.2018,height.11.12.2018,leaf.num.11.12.2018,date.11.12.2018,pds.11.19.2018,height.11.19.2018,leaf.num.11.19.2018,date.11.19.2018,pds.11.26.2018,height.11.26.2018,leaf.num.11.26.2018,date.11.26.2018,sample_num_let
62,60A62,60,S,A,serpentine,serpentine,no,no,1,yes,yes,5,12/15/18,3/11/19,1,2.5,4,8/22/18,2,1,2,4,8/29/18,3,2.5,6,10/22/18,2,3,4,9/3/18,2,3,6,9/10/18,2,2.5,5,9/24/18,2,3,7,9/17/18,2,2.5,8,10/1/18,2,2.5,10,10/8/18,2,3,9,10/15/18,4,3,8,11/12/18,3,3,9,11/19/18,.,.,.,11/26/18,
63,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,3,10/21/18,.,1,3.5,4,8/22/18,2,2,4,5,8/29/18,.,.,.,10/22/18,1,3.5,7,9/3/18,2,4,8,9/10/18,2,4,12,9/24/18,2,4,10,9/17/18,2,4,13,10/1/18,2,2.5,15,10/8/18,2,2,16,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,63A
64,.,.,S,A,serpentine,serpentine,no,no,4,yes,yes,.,.,.,1,2,4,8/22/18,1,1,2.5,4,8/29/18,.,.,.,10/22/18,1,2.5,5,9/3/18,2,3,7,9/10/18,2,2.5,7,9/24/18,2,2.5,7,9/17/18,,,,10/1/18,2,1.5,9,10/8/18,2,2,15,10/15/18,2,2,13,11/12/18,2,3,16,11/19/18,.,.,.,11/26/18,
65,.,.,S,A,serpentine,serpentine,no,no,1,yes,yes,.,.,.,1,1,4,8/22/18,1,1,1,5,8/29/18,2,1.5,7,10/22/18,1,1,5,9/3/18,2,1.5,6,9/10/18,2,2,10,9/24/18,2,1.5,8,9/17/18,2,1.5,9,10/1/18,2,2,10,10/8/18,2,3,10,10/15/18,2,2.5,7,11/12/18,2,2,5,11/19/18,.,.,.,11/26/18,
66,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,.,.,.,1,2,4,8/22/18,2,1,2,5,8/29/18,2,2,14,10/22/18,1,2,4,9/3/18,2,2,5,9/10/18,2,2,8,9/24/18,2,2,6,9/17/18,2,2,9,10/1/18,2,2,8,10/8/18,2,1,10,10/15/18,2,2,10,11/12/18,2,2.5,12,11/19/18,.,.,.,11/26/18,
67,144A67,144,S,A,serpentine,serpentine,no,no,1,yes,yes,2,9/11/18,5/15/19,1,2.5,5,8/22/18,2,1,2,6,8/29/18,.,.,.,10/22/18,1,2,5,9/3/18,2,3,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,67A
68,.,.,S,A,serpentine,serpentine,no,no,8,yes,yes,2,9/11/18,.,1,3,4,8/22/18,2,1,2,5,8/29/18,.,.,.,10/22/18,1,3,5,9/3/18,2,3,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,68A
69,.,.,S,A,serpentine,serpentine,no,no,6,yes,yes,4,11/17/18,.,1,4,4,8/22/18,3,1,4,5,8/29/18,3,5,11,10/22/18,2,4,6,9/3/18,2,4,8,9/10/18,2,4,8,9/24/18,2,3.5,10,9/17/18,2,5,9,10/1/18,2,5,8,10/8/18,2,5,12,10/15/18,4,6,6,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,69A
70,.,.,S,A,serpentine,serpentine,no,no,6,yes,yes,.,.,.,1,.,.,8/22/18,2,.,.,.,8/29/18,2,4,13,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,1,3.5,5,9/24/18,1,2,4,9/17/18,2,4,8,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
71,108A71,108,S,A,serpentine,serpentine,no,no,1,yes,yes,4,11/17/18,4/10/19,1,1.5,4,8/22/18,1,2,2,4,8/29/18,3,2.5,9,10/22/18,1,2,4,9/3/18,2,2,5,9/10/18,2,2.5,6,9/24/18,2,2,6,9/17/18,2,2.5,8,10/1/18,2,2.5,9,10/8/18,2,3,10,10/15/18,4,3.5,4,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,71A
72,.,.,S,A,serpentine,serpentine,no,no,6,yes,yes,2,9/11/18,.,1,3,4,8/22/18,1,1,2.5,5,8/29/18,.,.,.,10/22/18,2,3,6,9/3/18,2,2.5,9,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,72A
73,.,.,S,A,serpentine,serpentine,no,no,8,no,no,.,.,.,.,.,.,8/22/18,.,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
74,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,4,11/17/18,.,1,3.5,4,8/22/18,2,1,4,4,8/29/18,.,.,.,10/22/18,2,4,5,9/3/18,2,4,6,9/10/18,2,4,10,9/24/18,2,4.5,9,9/17/18,2,4.5,13,10/1/18,2,4,14,10/8/18,3,4.5,16,10/15/18,4,5.5,15,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,74A
75,.,.,S,A,serpentine,serpentine,no,no,7,yes,yes,.,.,.,1,2,4,8/22/18,2,1,2,6,8/29/18,4,1.5,9,10/22/18,1,2,4,9/3/18,2,2.5,8,9/10/18,2,3,6,9/24/18,2,2.5,9,9/17/18,2,2,7,10/1/18,3,1.5,4,10/8/18,3,1.5,7,10/15/18,4,1,2,11/12/18,5,1.5,.,11/19/18,.,.,.,11/26/18,
76,132A76,132,S,A,serpentine,serpentine,no,no,7,yes,yes,3,10/21/18,5/1/19,1,4.5,4,8/22/18,2,1,3.5,5,8/29/18,.,.,.,10/22/18,1,4,5,9/3/18,2,4,7,9/10/18,2,4,10,9/24/18,2,3.5,8,9/17/18,2,1.5,10,10/1/18,3,3.5,8,10/8/18,3,2,12,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,76A
77,.,.,S,A,serpentine,serpentine,no,no,1,yes,yes,.,.,.,1,3,5,8/22/18,3,1,3.5,5,8/29/18,2,3,21,10/22/18,1,3.5,4,9/3/18,2,3.5,9,9/10/18,2,3,16,9/24/18,2,3,12,9/17/18,2,3,15,10/1/18,2,3,20,10/8/18,2,3,17,10/15/18,3,5,18,11/12/18,4,8,17,11/19/18,.,.,.,11/26/18,
78,152A78,152,S,A,serpentine,serpentine,no,no,7,yes,yes,6,12/15/18,7/27/19,1,4,4,8/22/18,1,1,3.5,5,8/29/18,2,2,10,10/22/18,2,4,6,9/3/18,2,3.5,8,9/10/18,2,3.5,8,9/24/18,2,3.5,7,9/17/18,2,3,9,10/1/18,2,3,9,10/8/18,2,2.5,9,10/15/18,2,2,3,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
79,.,.,S,A,serpentine,serpentine,no,no,7,yes,yes,2,9/11/18,.,1,2.5,4,8/22/18,5,1,2,4,8/29/18,.,.,.,10/22/18,2,2.5,5,9/3/18,2,2.5,7,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,79A
80,.,.,S,A,serpentine,serpentine,no,no,8,yes,yes,.,.,.,1,2,4,8/22/18,4,1,2.5,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
81,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,.,.,.,1,3,4,8/22/18,1,2,3,4,8/29/18,2,3,14,10/22/18,1,3,4,9/3/18,2,3.5,5,9/10/18,2,3,9,9/24/18,2,3,9,9/17/18,2,2.5,10,10/1/18,2,2.5,12,10/8/18,2,2.5,13,10/15/18,2,4,12,11/12/18,5,.,.,11/19/18,.,.,.,11/26/18,
82,.,.,S,A,serpentine,serpentine,no,no,7,yes,yes,2,9/11/18,.,1,3,4,8/22/18,3,1,3,5,8/29/18,.,.,.,10/22/18,1,3,6,9/3/18,2,2.5,7,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,82A
83,.,.,S,A,serpentine,serpentine,no,no,9,yes,yes,.,.,.,1,1.5,4,8/22/18,2,1,2,6,8/29/18,2,2,9,10/22/18,1,2,8,9/3/18,2,2,7,9/10/18,2,2,8,9/24/18,2,1.5,8,9/17/18,2,1,10,10/1/18,2,1.5,8,10/8/18,2,2,10,10/15/18,2,3,7,11/12/18,2,3,11,11/19/18,.,.,.,11/26/18,
84,37A84,37,S,A,serpentine,serpentine,no,no,6,yes,yes,5,12/15/18,3/4/19,1,1.5,4,8/22/18,2,1,2,2,8/29/18,2,1.5,9,10/22/18,1,2.5,4,9/3/18,2,2,4,9/10/18,1,2,8,9/24/18,2,2.5,6,9/17/18,2,1,8,10/1/18,2,2,8,10/8/18,2,1.5,7,10/15/18,2,2,8,11/12/18,2,2,9,11/19/18,.,.,.,11/26/18,
85,59A85,59,S,A,serpentine,serpentine,no,no,7,yes,yes,5,12/15/18,3/11/19,1,2.5,4,8/22/18,3,1,3,4,8/29/18,2,1.5,12,10/22/18,1,3,5,9/3/18,2,3,5,9/10/18,2,3,6,9/24/18,2,3,6,9/17/18,2,2,8,10/1/18,2,2.5,10,10/8/18,2,2,9,10/15/18,2,4,6,11/12/18,3,4,6,11/19/18,.,.,.,11/26/18,85A
86,54A86,54,S,A,serpentine,serpentine,no,no,5,yes,yes,2,9/11/18,3/11/19,1,2,6,8/22/18,4,1,3,6,8/29/18,.,.,.,10/22/18,2,3,6,9/3/18,2,3,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,86A
87,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,.,.,.,1,3.5,4,8/22/18,1,1,4,4,8/29/18,.,.,.,10/22/18,2,4,6,9/3/18,2,4,6,9/10/18,2,4,11,9/24/18,2,4,10,9/17/18,2,3,14,10/1/18,2,2,12,10/8/18,2,2.5,14,10/15/18,2,4,17,11/12/18,3,3.5,18,11/19/18,.,.,.,11/26/18,
88,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,5,12/15/18,.,1,3,5,8/22/18,3,1,3,5,8/29/18,2,2.5,14,10/22/18,2,3,5,9/3/18,2,3,9,9/10/18,2,2.5,12,9/24/18,2,2,11,9/17/18,2,2.5,14,10/1/18,2,2,12,10/8/18,2,2.5,15,10/15/18,2,3,15,11/12/18,2,3,13,11/19/18,.,.,.,11/26/18,88A
89,113A89,113,S,A,serpentine,serpentine,no,no,1,yes,yes,4,11/17/18,4/15/19,1,3,4,8/22/18,2,1,3,4,8/29/18,2,2,12,10/22/18,2,3.5,5,9/3/18,2,3.5,7,9/10/18,2,3.5,12,9/24/18,2,3.5,8,9/17/18,2,3.5,12,10/1/18,2,3.5,13,10/8/18,2,3,14,10/15/18,4,3,7,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,89A
90,.,.,S,A,serpentine,serpentine,no,no,1,yes,yes,5,12/15/18,.,1,2.5,4,8/22/18,1,2,2.5,5,8/29/18,2,2,9,10/22/18,1,2.5,6,9/3/18,2,3,8,9/10/18,2,3,10,9/24/18,2,2,9,9/17/18,2,2,7,10/1/18,2,2.5,10,10/8/18,2,1.5,12,10/15/18,3,4.5,9,11/12/18,4,3,9,11/19/18,.,.,.,11/26/18,90A
91,100A91,100,S,A,serpentine,serpentine,no,no,6,yes,yes,2,9/11/18,4/9/19,1,2,4,8/22/18,3,1,2,6,8/29/18,.,.,.,10/22/18,1,2,6,9/3/18,2,2.5,9,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,91A
92,.,.,S,A,serpentine,serpentine,no,no,4,yes,yes,.,.,.,1,2,4,8/22/18,1,1,2.5,4,8/29/18,.,.,.,10/22/18,1,3,6,9/3/18,2,3,8,9/10/18,2,2.5,7,9/24/18,2,3,8,9/17/18,2,2.5,8,10/1/18,2,1,10,10/8/18,2,1,13,10/15/18,2,3,14,11/12/18,2,2.5,15,11/19/18,.,.,.,11/26/18,
93,.,.,S,A,serpentine,serpentine,no,no,4,yes,yes,2,9/11/18,.,1,2.5,4,8/22/18,2,2,3,2,8/29/18,.,.,.,10/22/18,1,3,5,9/3/18,2,3,5,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,93A
94,.,.,S,A,serpentine,serpentine,no,no,1,yes,yes,.,.,.,1,1.5,4,8/22/18,3,1,2.5,4,8/29/18,2,2,9,10/22/18,1,3,5,9/3/18,2,3,5,9/10/18,2,2.5,8,9/24/18,2,3,8,9/17/18,2,2.5,11,10/1/18,2,2.5,14,10/8/18,2,2,16,10/15/18,2,3,5,11/12/18,5,.,.,11/19/18,.,.,.,11/26/18,
95,68A95,68,S,A,serpentine,serpentine,no,no,6,yes,yes,5,12/15/18,3/20/19,1,2,4,8/22/18,2,1,2.5,6,8/29/18,2,2.5,12,10/22/18,2,2.5,6,9/3/18,2,3,7,9/10/18,2,3,11,9/24/18,2,3,9,9/17/18,2,3,12,10/1/18,2,3,9,10/8/18,2,2,9,10/15/18,2,3.5,13,11/12/18,2,2.5,14,11/19/18,.,.,.,11/26/18,
96,.,.,S,A,serpentine,serpentine,no,no,1,yes,yes,.,.,.,1,2,4,8/22/18,2,1,2.5,4,8/29/18,2,2,12,10/22/18,1,2.5,4,9/3/18,2,2.5,5,9/10/18,2,2,10,9/24/18,2,2,8,9/17/18,2,2,10,10/1/18,2,2.5,13,10/8/18,2,2,13,10/15/18,2,2,10,11/12/18,2,2,6,11/19/18,.,.,.,11/26/18,
97,165B97,165,NS,B,nonserpentine,nonserpentine,no,no,6,yes,yes,6,12/15/18,8/3/19,1,5,6,8/22/18,3,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
98,.,.,NS,B,nonserpentine,nonserpentine,no,no,8,yes,yes,.,.,.,1,7,4,8/22/18,3,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
99,.,.,NS,B,nonserpentine,nonserpentine,no,no,3,yes,yes,.,.,.,1,4,4,8/22/18,1,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,..,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
100,.,.,NS,B,nonserpentine,nonserpentine,no,no,4,yes,yes,.,.,.,1,5,5,8/22/18,1,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
101,84B101,84,NS,B,nonserpentine,nonserpentine,no,no,5,yes,yes,1,12/1/18,4/1/19,1,3.5,4,8/22/18,7,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,5.333333333,.,11/26/18,101B
102,.,.,NS,B,nonserpentine,nonserpentine,no,no,3,yes,yes,.,.,.,1,4.5,4,8/22/18,1,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
103,79B103,79,NS,B,nonserpentine,nonserpentine,no,no,1,yes,yes,1,12/1/18,4/1/19,1,5.5,7,8/22/18,2,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4.5,.,11/26/18,103B
104,.,.,NS,B,nonserpentine,nonserpentine,no,no,2,yes,yes,.,.,.,1,2.5,5,8/22/18,2,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
105,163B105,163,NS,B,nonserpentine,nonserpentine,no,no,2,yes,yes,6,12/15/18,8/3/19,1,5,8,8/22/18,2,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
106,.,.,NS,B,nonserpentine,nonserpentine,no,no,2,yes,yes,1,12/1/18,.,1,3.5,4,8/22/18,4,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4.666666667,.,11/26/18,106B
107,.,.,NS,B,nonserpentine,nonserpentine,no,no,1,yes,yes,1,12/1/18,.,1,6,7,8/22/18,3,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4.166666667,.,11/26/18,107B
108,.,.,NS,B,nonserpentine,nonserpentine,no,no,7,no,yes,.,.,.,1,4,4,8/22/18,3,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
109,.,.,NS,B,nonserpentine,nonserpentine,no,no,8,yes,no,1,12/1/18,.,.,.,.,8/22/18,.,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,5.166666667,.,11/26/18,109B
110,.,.,NS,B,nonserpentine,nonserpentine,no,no,5,yes,yes,5,12/15/18,.,1,4,4,8/22/18,2,1,4,5,8/29/18,3,10,11,10/22/18,1,4,5,9/3/18,2,4,7,9/10/18,2,4.5,8,9/24/18,2,4,7,9/17/18,2,5.5,9,10/1/18,2,7.5,10,10/8/18,2,8.5,11,10/15/18,4,13.5,8,11/12/18,4,14,9,11/19/18,.,.,.,11/26/18,
111,.,.,NS,B,nonserpentine,nonserpentine,no,no,2,yes,yes,5,12/15/18,.,1,3.5,4,8/22/18,2,1,3,4,8/29/18,3,7,10,10/22/18,1,3,5,9/3/18,3,3,5,9/10/18,3,5.5,6,9/24/18,3,4,6,9/17/18,2,6,8,10/1/18,2,6,10,10/8/18,2,5.5,11,10/15/18,3,10,10,11/12/18,4,10,10,11/19/18,.,.,.,11/26/18,
112,.,.,NS,B,nonserpentine,nonserpentine,no,no,4,yes,yes,4,11/17/18,.,1,4,6,8/22/18,2,2,5,6,8/29/18,.,.,.,10/22/18,2,4.5,6,9/3/18,2,5.5,8,9/10/18,3,6.5,9,9/24/18,2,6,9,9/17/18,3,7,9,10/1/18,4,13.5,11,10/8/18,4,14,10,10/15/18,4,14.5,10,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,112B
113,115B113,115,NS,B,nonserpentine,nonserpentine,no,no,1,yes,yes,2,9/4/18,4/16/19,1,5.5,7,8/22/18,2,2,6.5,9,8/29/18,.,.,.,10/22/18,2,7,10,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,2,8,10,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,113B
114,85B114,85,NS,B,nonserpentine,nonserpentine,no,no,1,yes,yes,2,9/4/18,4/3/19,1,4.5,4,8/22/18,1,2,6,5,8/29/18,.,.,.,10/22/18,2,6.5,6,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,114B
115,.,.,NS,B,nonserpentine,nonserpentine,no,no,4,yes,yes,2,9/4/18,.,1,4,4,8/22/18,1,2,4.5,6,8/29/18,.,.,.,10/22/18,2,5.5,7,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,115B
116,.,.,NS,B,nonserpentine,nonserpentine,no,no,4,yes,yes,2,9/4/18,.,1,5,5,8/22/18,1,2,5.5,8,8/29/18,.,.,.,10/22/18,2,6.5,9,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,116B
117,134B117,134,NS,B,nonserpentine,nonserpentine,no,no,8,yes,yes,3,10/21/18,5/6/19,1,3,2,8/22/18,2,1,3,3,8/29/18,.,.,.,10/22/18,1,3,4,9/3/18,1,3.5,5,9/10/18,2,6,7,9/24/18,2,3.5,6,9/17/18,2,6,8,10/1/18,2,6,9,10/8/18,3,7.5,9,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,117B
118,46B118,46,NS,B,nonserpentine,nonserpentine,no,no,9,no,no,1,12/1/18,3/8/19,.,.,.,8/22/18,.,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,118B
119,.,.,NS,B,nonserpentine,nonserpentine,no,no,7,yes,yes,2,9/4/18,.,1,5.5,4,8/22/18,3,2,6,6,8/29/18,.,.,.,10/22/18,2,5.5,6,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,119B
120,45B120,45,NS,B,nonserpentine,nonserpentine,no,no,1,no,no,1,12/1/18,3/8/19,.,.,.,8/22/18,.,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,5.333333333,.,11/26/18,120B
121,.,.,NS,B,nonserpentine,nonserpentine,no,no,3,yes,yes,2,9/4/18,.,1,5.5,5,8/22/18,1,2,6.5,6,8/29/18,.,.,.,10/22/18,2,6.5,6,9/3/18,,,,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,121B
122,97B122,97,NS,B,nonserpentine,nonserpentine,no,no,2,yes,yes,2,9/11/18,4/9/19,1,4.5,4,8/22/18,2,1,5,5,8/29/18,.,.,.,10/22/18,2,5.5,6,9/3/18,2,5,7,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,122B
123,.,.,NS,B,nonserpentine,nonserpentine,no,no,6,yes,yes,4,11/17/18,.,1,3,2,8/22/18,2,1,3.5,3,8/29/18,3,10,11,10/22/18,2,3.5,4,9/3/18,2,6,5,9/10/18,2,7,7,9/24/18,2,6,6,9/17/18,2,8,8,10/1/18,2,9,9,10/8/18,2,9.5,12,10/15/18,4,21,9,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
124,.,.,NS,B,nonserpentine,nonserpentine,no,no,9,no,no,1,12/1/18,.,.,.,.,8/22/18,.,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4.666666667,.,11/26/18,124B
125,.,.,NS,B,nonserpentine,nonserpentine,no,no,9,yes,yes,4,11/17/18,.,1,3.5,4,8/22/18,3,1,3.5,5,8/29/18,3,10,8,10/22/18,2,3.5,6,9/3/18,2,4,8,9/10/18,2,6,8,9/24/18,2,5,7,9/17/18,2,6.5,10,10/1/18,2,8,9,10/8/18,2,8.5,13,10/15/18,4,11.5,6,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,125B
